dataset	method	fold	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
wiktextract_cs_typeset	hypher	fold-0	12476	0.7063320843268612	0.9821588337455923	0.8217163489058166	0.7483658820226973	0.43723949983969224	0.5520198781660789	13462.305890517915	416.08855803142035
wiktextract_cs_typeset	hypher	fold-1	12506	0.7026073095753159	0.9791611572433491	0.8181456602439455	0.7446722927041182	0.43651047497201345	0.5521349752118982	13677.540975022255	401.2132496401727
wiktextract_cs_typeset	hypher	fold-2	12438	0.7055602038487868	0.9816911842523018	0.8210302708443972	0.7476183567870788	0.4383341373211127	0.5503296349895481	13516.061452513966	400.7445248432224
wiktextract_cs_typeset	hypher	fold-3	12362	0.7077941964627517	0.9793940036020765	0.8217333333333333	0.7493555760906571	0.43569001779647304	0.5522569163565766	13386.765814903803	407.6905719139298
wiktextract_cs_typeset	hypher	fold-4	12454	0.6996098337058222	0.9805160331280527	0.8165800817950702	0.7421322489391796	0.42652962903484826	0.5620684117552593	13837.509597263906	400.061891761683
wiktextract_cs_typeset	liang_tex	fold-0	12476	0.9472413986641971	0.8882164096626494	0.9167798359498072	0.9348170468267069	0.8076306508496313	0.06388265469701827	2025.7310949723078	951.2403815325425
wiktextract_cs_typeset	liang_tex	fold-1	12506	0.9431040287285377	0.8889829163801767	0.9152440850554058	0.9317589666832974	0.8072125379817687	0.06900687669918439	2200.9507065182	933.7226451303375
wiktextract_cs_typeset	liang_tex	fold-2	12438	0.9467834287638935	0.8924753942216107	0.9188276312922204	0.935399427646028	0.8102588840649622	0.06464061746261457	2057.604236754715	950.5271144878598
wiktextract_cs_typeset	liang_tex	fold-3	12362	0.9482505643340858	0.8900836953067062	0.9182468987376359	0.9360168452951269	0.8097395243488109	0.06398640996602492	2000.349024911653	928.5208704093188
wiktextract_cs_typeset	liang_tex	fold-4	12454	0.943127962085308	0.8874495646634105	0.9144420131291029	0.9314402888601614	0.8043198972217761	0.06720732294845029	2189.352968006777	965.8719086237353
wiktextract_cs_typeset	guarded_ngram	fold-0	12476	0.9578936032737454	0.936266512288827	0.9469565911691907	0.9534886213808704	0.8615742225072138	0.06051619108688682	1685.2358683705795	496.1434273805707
wiktextract_cs_typeset	guarded_ngram	fold-1	12506	0.9544813368055556	0.9305019305019305	0.9423391092423473	0.9495870891131861	0.8550295857988166	0.06412921797537183	1821.1022118035207	350.1982408443947
wiktextract_cs_typeset	guarded_ngram	fold-2	12438	0.9545996962464743	0.9312625674674568	0.9427867359511438	0.9498391658211177	0.8528702363724071	0.06431902235086026	1816.6822216916632	351.91031114327063
wiktextract_cs_typeset	guarded_ngram	fold-3	12362	0.9589846941554551	0.9326199809301833	0.9456186051507909	0.9535931711333059	0.8590842905678693	0.058728361106617055	1642.598490467257	351.05784258210645
wiktextract_cs_typeset	guarded_ngram	fold-4	12454	0.9577541862755828	0.9291781694627309	0.9432497978981407	0.9518992298655528	0.854986349767143	0.05973984262084471	1676.7663604178883	339.58450297093304
wiktextract_de_typeset	hypher	fold-0	193796	0.8915971718471896	0.9583865048298935	0.9237862020249588	0.9041997910669121	0.6806384032694174	0.25500526326652767	3371.832368595464	723.0007649796695
wiktextract_de_typeset	hypher	fold-1	193696	0.891692616446798	0.9583071218414339	0.9238005467233793	0.9042641835277219	0.680525152816785	0.25510593920370067	3371.2824227060796	733.0961060114819
wiktextract_de_typeset	hypher	fold-2	193708	0.8923173253341876	0.9576471001908528	0.9238286826124441	0.904660339009574	0.681938794474157	0.2529477357672373	3351.2945196477854	739.6914427901789
wiktextract_de_typeset	hypher	fold-3	193704	0.8918804282330925	0.9579163880514138	0.9237196981480696	0.9043490652201038	0.6807861479370586	0.2541300128030397	3363.695109097942	736.9426741316648
wiktextract_de_typeset	hypher	fold-4	193648	0.8916363437886616	0.9583123125237095	0.9237727583743467	0.9042188107712371	0.6816233578451624	0.2539091547550194	3372.84104422674	723.9870365301991
wiktextract_de_typeset	liang_tex	fold-0	193796	0.9457119330771144	0.9583865048298935	0.952007035008095	0.9482199570993863	0.8178084170983921	0.10394435385663275	1786.3102844822226	1842.392451340585
wiktextract_de_typeset	liang_tex	fold-1	193696	0.9453657859690981	0.9583071218414339	0.9517924657354829	0.9479260150780454	0.8169812489674542	0.10497893606476127	1799.8741586502595	1730.7957229369733
wiktextract_de_typeset	liang_tex	fold-2	193708	0.9457985900765156	0.9576471001908528	0.9516859680132476	0.9481447785621092	0.8172661944782869	0.10380572820946993	1785.9560815256466	1990.057812532265
wiktextract_de_typeset	liang_tex	fold-3	193704	0.9455666251075968	0.9579163880514138	0.9517014440615542	0.9480110371089894	0.8165499938049808	0.10448416140090035	1792.445215835088	1655.9786989427166
wiktextract_de_typeset	liang_tex	fold-4	193648	0.9453064420929183	0.9583123125237095	0.9517649480691996	0.947879297552854	0.8178705692803437	0.10441626043129802	1801.8229835214693	1682.3469540093365
wiktextract_de_typeset	guarded_ngram	fold-0	193796	0.9962899617421015	0.9755818248262196	0.985827157275702	0.9920783020356512	0.9334093582942888	0.009386158641045222	117.95790064124935	264.67231212202523
wiktextract_de_typeset	guarded_ngram	fold-1	193696	0.9962919745883573	0.9758216081678265	0.9859505510719921	0.9921294813927306	0.9335814885180902	0.009396167189823229	118.03182097258474	265.92533118907977
wiktextract_de_typeset	guarded_ngram	fold-2	193708	0.9963358632374923	0.9752379798911143	0.9856740369560881	0.9920435735562086	0.9324963346893262	0.009282012100687633	116.71585981636959	342.59191024635015
wiktextract_de_typeset	guarded_ngram	fold-3	193704	0.996108747431953	0.9754818577478502	0.985687402760971	0.9919138773864519	0.9326704662784454	0.009813942923223061	123.864548491795	263.23839027588485
wiktextract_de_typeset	guarded_ngram	fold-4	193648	0.9962433434243523	0.9749060418695419	0.9854592066160461	0.9919014888718586	0.9316181938362389	0.009444972320912171	119.46489892507009	298.09857963934564
wiktextract_es_typeset	hypher	fold-0	162049	0.9045352304231835	0.9333342329152526	0.9187090947126544	0.9101519683246904	0.5997877185295806	0.2693938253244389	3808.4240949775754	432.6706221574956
wiktextract_es_typeset	hypher	fold-1	162161	0.9044377442283201	0.9332653437144796	0.9186254382153649	0.9100599057384914	0.5993672954656175	0.2698737674286666	3815.0868752042384	459.95032190230694
wiktextract_es_typeset	hypher	fold-2	162311	0.9031755066613455	0.9330592197902469	0.917874192704755	0.908998125125383	0.596694001022728	0.2727726401784229	3864.4492084920744	444.19608313669437
wiktextract_es_typeset	hypher	fold-3	162241	0.903517186948123	0.9335575564931978	0.9182917573803548	0.9093695949750522	0.5975246700895581	0.27194728829334136	3850.604917302445	436.0751262011452
wiktextract_es_typeset	hypher	fold-4	162194	0.9043780082056333	0.9335215068878269	0.9187186939035702	0.9100602209137987	0.5999420447118883	0.2697510388793667	3816.2734680035132	450.11160739608124
wiktextract_es_typeset	liang_tex	fold-0	162049	0.998806269013054	0.9333342329152526	0.9649609663374624	0.984987185919749	0.8289838258798264	0.0030608025967454287	50.13757508000784	1083.0840387783942
wiktextract_es_typeset	liang_tex	fold-1	162161	0.998790752017617	0.9332653437144796	0.964916905404197	0.9849597678531634	0.8281707685571746	0.00308335543071392	50.820965719591534	1181.495447734042
wiktextract_es_typeset	liang_tex	fold-2	162311	0.9987580126272736	0.9330592197902469	0.9647914475377776	0.984888372674837	0.8290134371669203	0.00313595504925729	52.12956880242691	1066.2315067986767
wiktextract_es_typeset	liang_tex	fold-3	162241	0.9987973237440589	0.9335575564931978	0.9650761343299049	0.9850299614696213	0.8300183061001843	0.003057180367478011	50.489822101793145	1068.3020167528553
wiktextract_es_typeset	liang_tex	fold-4	162194	0.9987175168431184	0.9335215068878269	0.965019616960679	0.9849598367366311	0.8296669420570428	0.0032738572326966473	53.88960618122883	1079.529709175432
wiktextract_es_typeset	guarded_ngram	fold-0	162049	0.9991693111393791	0.9927673613688038	0.9959580485372603	0.9978823243253752	0.9804071607970428	0.0022524051367179064	37.09776220637677	288.75183339607156
wiktextract_es_typeset	guarded_ngram	fold-1	162161	0.9991930872211687	0.9930452909701101	0.9961097034338938	0.9979574458863124	0.981148364896615	0.002195349066668311	36.06975101768226	317.08737766787334
wiktextract_es_typeset	guarded_ngram	fold-2	162311	0.9991499200924887	0.9930270020614841	0.9960790517406976	0.9979193033854903	0.981171947680687	0.0022980574329527883	37.95842388526231	300.2826875566043
wiktextract_es_typeset	guarded_ngram	fold-3	162241	0.9991523618281788	0.9931268768176832	0.9961305075305407	0.9979414226774905	0.981367225300633	0.002305212615799952	37.842071074289855	305.17214082753435
wiktextract_es_typeset	guarded_ngram	fold-4	162194	0.9991695573763444	0.9931200449817261	0.9961356166206836	0.9979537660513199	0.9813988186985955	0.0022565569626496664	37.10597648876356	294.7193894348743
wiktextract_it_typeset	hypher	fold-0	907	0.6888992537313433	0.962214983713355	0.8029355803207393	0.7303926416773812	0.2855567805953694	0.7100330760749725	13749.742321170892	285.17778390297684
wiktextract_it_typeset	hypher	fold-1	930	0.6856316297010607	0.9634146341463414	0.8011267605633803	0.7275890298812935	0.3032258064516129	0.6903225806451613	13919.726729291204	256.5972043010753
wiktextract_it_typeset	hypher	fold-2	899	0.6802154750244858	0.9686192468619247	0.7991944764096662	0.7232868152468236	0.27363737486095663	0.7152391546162402	14112.816079533175	268.9655172413793
wiktextract_it_typeset	hypher	fold-3	917	0.6788354898336414	0.9670836076366031	0.797719250610915	0.7218673218673219	0.25190839694656486	0.737186477644493	14482.183788289227	287.18871319520173
wiktextract_it_typeset	hypher	fold-4	905	0.6876172607879925	0.9613114754098361	0.8017500683620453	0.7291355814184821	0.27071823204419887	0.7160220994475138	13737.623762376237	271.4640883977901
wiktextract_it_typeset	liang_tex	fold-0	907	0.97363216875412	0.962214983713355	0.9678899082568807	0.9713271077206367	0.9228224917309813	0.03528114663726571	998.7515605493134	940.412513781698
wiktextract_it_typeset	liang_tex	fold-1	930	0.980013783597519	0.9634146341463414	0.9716433208062863	0.9766483516483517	0.932258064516129	0.025806451612903226	756.9825110937093	808.6491935483871
wiktextract_it_typeset	liang_tex	fold-2	899	0.9809322033898306	0.9686192468619247	0.9747368421052631	0.978444632290786	0.9354838709677419	0.026696329254727477	712.9654079746501	812.9541713014461
wiktextract_it_typeset	liang_tex	fold-3	917	0.9799866577718479	0.9670836076366031	0.9734923790589796	0.9773785761809715	0.9302071973827699	0.023991275899672846	762.001524003048	832.3791166848418
wiktextract_it_typeset	liang_tex	fold-4	905	0.9734395750332006	0.9613114754098361	0.9673375123721544	0.9709895350377533	0.9171270718232044	0.036464088397790057	998.2530571499875	816.0773480662983
wiktextract_it_typeset	guarded_ngram	fold-0	907	0.9848866498740554	0.5094462540716612	0.6715328467153285	0.829972405009552	0.402425578831312	0.013230429988974642	299.62546816479403	176.77320837927232
wiktextract_it_typeset	guarded_ngram	fold-1	930	0.9883870967741936	0.518970189701897	0.6805864060417592	0.8369755244755245	0.43655913978494626	0.00967741935483871	234.92560689115115	161.42698924731184
