dataset	method	folds	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
moby_en_us_typeset	hypher	5	36473.800000 (sd 28.234730)	0.898820 (sd 0.001231)	0.742253 (sd 0.001168)	0.813066 (sd 0.000538)	0.862435 (sd 0.000743)	0.561521 (sd 0.002009)	0.132994 (sd 0.001541)	2806.769726 (sd 37.782544)	420.643676 (sd 8.360976)
moby_en_us_typeset	liang_tex	5	36473.800000 (sd 28.234730)	0.898836 (sd 0.001220)	0.742258 (sd 0.001173)	0.813076 (sd 0.000536)	0.862449 (sd 0.000733)	0.561532 (sd 0.002016)	0.132966 (sd 0.001536)	2806.286907 (sd 37.504259)	1080.091440 (sd 93.656229)
moby_en_us_typeset	guarded_ngram	5	36473.800000 (sd 28.234730)	0.954636 (sd 0.000854)	0.835253 (sd 0.001521)	0.890962 (sd 0.001025)	0.928104 (sd 0.000825)	0.706355 (sd 0.002649)	0.071821 (sd 0.001231)	1333.329680 (sd 28.811270)	84.402693 (sd 2.053617)
